Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is vth
strin_x    strain_y    strain_z    vth
-0.005   -0.02   -0.01  0.45978385
-0.005   -0.02   -0.009  0.45129704
-0.005   -0.02   -0.008  0.44323754
-0.005   -0.02   -0.007  0.4355781
-0.005   -0.02   -0.006  0.42819673
-0.005   -0.02   -0.005  0.42074713
-0.005   -0.02   -0.004  0.4126656
-0.005   -0.02   -0.003  0.4051153
-0.005   -0.02   -0.002  0.39804786
-0.005   -0.02   -0.001  0.39142233
-0.005   -0.02   0.0  0.38539326
-0.005   -0.02   0.001  0.38085055
-0.005   -0.02   0.002  0.3779878
-0.005   -0.02   0.003  0.37371123
-0.005   -0.02   0.004  0.36875004
-0.005   -0.02   0.005  0.36385328
-0.005   -0.02   0.006  0.3594519
-0.005   -0.02   0.007  0.35511947
-0.005   -0.02   0.008  0.35062814
-0.005   -0.02   0.009  0.34614724
-0.005   -0.02   0.01  0.34204748
-0.005   -0.02   0.011  0.3380227
-0.005   -0.02   0.012  0.3336553
-0.005   -0.02   0.013  0.32903922
-0.005   -0.02   0.014  0.32388067
-0.005   -0.02   0.015  0.3183829
-0.005   -0.02   0.016  0.31273213
-0.005   -0.02   0.017  0.30704975
-0.005   -0.02   0.018  0.30205396
-0.005   -0.02   0.019  0.2975112
-0.004   -0.02   -0.02  0.54582274
-0.004   -0.02   -0.019  0.53712946
-0.004   -0.02   -0.018  0.5288667
-0.004   -0.02   -0.017  0.52046007
-0.004   -0.02   -0.016  0.51175666
-0.004   -0.02   -0.015  0.50241584
-0.004   -0.02   -0.014  0.4927616
-0.004   -0.02   -0.013  0.48352987
-0.004   -0.02   -0.012  0.4746911
-0.004   -0.02   -0.011  0.46590817
-0.004   -0.02   -0.01  0.45676112
-0.004   -0.02   -0.009  0.4481694
-0.004   -0.02   -0.008  0.44002327
-0.004   -0.02   -0.007  0.43240523
-0.004   -0.02   -0.006  0.42471597
-0.004   -0.02   -0.005  0.41710848
-0.004   -0.02   -0.004  0.40950263
-0.004   -0.02   -0.003  0.40185714
-0.004   -0.02   -0.002  0.39457965
-0.004   -0.02   -0.001  0.38845164
-0.004   -0.02   0.0  0.38281745
-0.004   -0.02   0.001  0.37876767
-0.004   -0.02   0.002  0.3755473
-0.004   -0.02   0.003  0.37125188
-0.004   -0.02   0.004  0.36695427
-0.004   -0.02   0.005  0.36222804
